image,label,style,mean_brigtness,entropy_brightness,noise_entropy,snr,mean_red,mean_green,mean_blue,variance_red,variance_green,variance_blue,kurt_red,kurt_blue,kurt_green,skew_red,skew_blue,skew_green,avg_entropy_rgb,hue_skewness,hue_kurt,hue_variance,sat_skewness,sat_kurt,sat_variance,val_skewness,val_kurt,val_variance,avg_entropy_hsv,contrast,correlation,energy,homogeneity,entropy_lbp,variance_lbp,edgelen,hog_mean,hog_variance,hog_skewness,hog_kurt,hog_entropy
carlos-saenz-de-tejada_girl-with-doll.jpg,1,cubism,138.4248366,15.86892295,5.702763143,19.09346938,127.739208,144.551757,134.9059746,6280.1055,24179.34,52090.3,1.240963,-1.3357216,-1.304462,-1.2950897,0.32871804,-0.33871952,7.618679,2.41198,6.2463675,295431.3,1.1220882,0.11110401,76441.8,-0.48005334,-1.2623475,22663.652,7.0263023,1077.99258,0.81642002,0.007854079,0.049241686,3.18487167,9092346.65,13036,0.151636415,0.004784175,-0.0289525,-0.96301826,14.81750442
albert-gleizes_landscape-with-bridge-and-viaduct-1910.jpg,1,cubism,141.2087197,15.94596327,6.032743073,18.74449134,156.6460592,139.9880507,107.0595002,245023.16,207624.4,178501.53,14.682108,7.489027,11.372302,3.728301,2.6508443,3.2612524,6.517212,6.742515,49.775364,3699766.8,2.5418954,5.914093,265486.56,3.7277381,14.679596,245061.22,5.1888056,1535.073569,0.287427286,0.023453433,0.093517462,3.129480033,12241041.65,12936,0.141665845,0.007708566,0.282598512,-0.781320142,14.67818017
juan-gris_the-guitar-with-inlay-1925.jpg,1,cubism,109.2574241,15.83430947,5.576523936,17.27671862,142.4375548,98.92627451,75.4023837,24366.49,47120.637,90115.46,1.751277,0.08298516,0.32169557,1.0034796,1.1019801,1.0782439,7.3911395,3.3482103,10.645673,1114831.9,0.70586365,-0.6195173,66860.91,1.0043056,1.7510686,24362.795,6.4685225,1087.827796,0.790111603,0.010674853,0.077070418,3.1066243,13920351.85,8039,0.146134238,0.006422562,0.269316138,-0.905378153,14.75011727
amadeo-de-souza-cardoso_brut-300-tsf-2-1917.jpg,1,cubism,88.49968474,15.60291078,5.526934674,16.66865349,103.0472895,84.75926182,69.51184929,25224.348,30304.746,65752.92,23.329891,30.321857,4.5519986,3.16407,3.8318024,1.1761068,7.5848217,2.8151524,9.024425,356341.44,7.872466,92.36656,39083.836,1.4420577,12.073463,16652.91,7.2470536,2505.110478,0.676414426,0.017367476,0.111655726,3.240753218,4902603.05,9408,0.129126855,0.011104033,0.817605932,-0.14177481,14.49323158
m---h---maxy_nude-on-green-sofa-1928.jpg,1,cubism,98.5008689,15.74897522,5.822345244,16.90033436,100.5000231,97.93736255,96.16735102,15196.113,25968.834,39804.81,-1.2738549,-1.0109549,-1.2701916,0.314919,0.67237455,0.32622868,7.690626,1.5354993,2.4502234,70762.414,0.2622988,-1.3118674,42053.203,0.27430353,-0.987169,20874.621,7.447781,2002.555702,0.691513646,0.008203427,0.053666634,3.222891424,6650544.05,11612,0.146444659,0.00633174,0.195780498,-0.879124117,14.7503784
juan-gris_pipe-and-glass-1923.jpg,1,cubism,82.36210688,15.78100325,4.984777036,15.2278161,113.6606536,71.8615148,54.14785083,62414.62,114452.91,199182.16,5.4630394,3.713241,5.312752,1.91504,2.2094219,2.08365,6.9434285,3.6184273,13.48502,1078674,1.6622031,1.606441,134696.08,2.071844,6.7194967,64508.715,6.265436,709.7064314,0.819486847,0.022108044,0.12247214,3.173013046,9693605.25,4952,0.140745829,0.007968389,0.509767826,-0.38355338,14.67404388
natalia-goncharova_spanish-dancers.jpg,1,cubism,148.8286351,15.73924833,5.960537128,20.58012724,160.2604691,149.1149712,117.3801153,93840.195,74143.78,74566.9,4.3769293,12.296636,7.5312996,2.1231537,2.8915923,2.2971768,7.29314,3.8559055,15.463413,1086617.8,1.5197202,1.4243155,92641.51,2.214243,5.2277374,97282.39,6.37537,2754.410667,0.773389233,0.019698751,0.098800116,3.245324325,4892649.65,12960,0.132397439,0.010248696,0.674345387,-0.268778742,14.53756963
marevna---marie-vorobieff--_not-identified-7.jpg,1,cubism,137.1598308,15.91919131,5.83905521,18.64991546,145.2563322,137.5767474,113.7532641,41062.137,69907.44,128871.19,-1.693301,0.565181,-1.1431139,0.017185641,1.4108623,0.6630394,7.11932,5.763425,40.092567,850065.25,1.1340617,0.06043434,118337.02,0.21793899,-1.6999546,49610.156,6.5399303,990.8224941,0.662915466,0.010764905,0.060792893,3.06504729,16236286.65,7433,0.152463033,0.004532801,0.193859049,0.23819533,14.83107328
marc-chagall_blue-lovers-1914.jpg,1,cubism,96.92132257,15.70996337,4.989487929,17.11848736,80.7446213,95.64656671,145.9671972,111676.06,92444.56,46821.695,7.745784,0.8860948,5.81563,2.8831706,1.3094537,2.5665941,7.352862,4.763738,24.024162,1458677.4,0.82122165,0.39550734,26326.988,1.3152366,0.911947,46817.035,6.6111317,1031.567325,0.87251921,0.016859312,0.087846499,3.24296907,5259599.45,5960,0.14770465,0.005961114,0.252995105,-0.403700753,14.76829162
natalia-goncharova_boy-with-rooster.jpg,1,cubism,90.63594002,15.84610592,5.548565429,15.62154651,104.1351019,83.85582468,90.14863514,65630.02,170031.67,100754.164,0.52992177,1.4363751,10.050023,1.2068158,1.5710716,3.0518446,7.023823,2.0682244,5.8871746,214170.4,1.0823698,0.052506447,65306.44,0.77259576,-0.4072013,48883.176,7.0464797,1692.995263,0.531228522,0.015242657,0.082236859,3.24000239,5333651.45,9264,0.139255956,0.008385557,0.477851526,-0.554648057,14.64808694
paul-cezanne_mont-sainte-victoire-seen-from-les-lauves-1905.jpg,1,cubism,162.3059439,15.89593205,5.752306617,20.5395627,166.4896117,160.9783775,158.1365167,43173.625,36570.637,23078.496,9.6193,0.41550922,8.622664,2.211717,0.27677637,1.7882863,7.6052957,2.0135984,3.4733467,250067.64,2.8951836,15.746403,116190.695,1.605342,5.7671127,41285.51,6.9764485,1872.218243,0.705007279,0.015470965,0.077672976,3.248114193,4891312.25,12151,0.148420067,0.005749261,0.069182413,-1.024925261,14.77500325
fernand-leger_draft-costume-front-1929.jpg,1,cubism,206.2552403,15.93359966,3.625890929,22.95753717,227.2152249,201.8925336,173.9619377,1265648.5,830357.2,709007.56,42.67089,29.03152,35.29139,6.445269,5.279516,5.7908883,5.094888,11.443245,139.73451,5524638,8.9554205,92.839836,1254168.6,6.450591,42.75491,1267015.8,4.315084,814.001898,0.846338907,0.095880694,0.350355635,3.109540526,13398725.85,2674,0.130747295,0.010682923,0.772098579,0.137657712,14.5084963
amadeo-de-souza-cardoso_bridge-1914.jpg,1,cubism,106.3211226,15.82202787,5.945387303,17.12101102,155.1461592,92.07572472,51.59457132,43139.74,52461.98,174593.38,-1.0669341,3.3191233,-0.49756598,0.58039856,2.076436,0.6207683,7.1260295,3.008304,8.185858,671809.94,1.362908,1.3038964,35734.88,0.56549966,-1.0677614,41605.89,6.8728156,1153.596737,0.766666854,0.009972542,0.057286551,3.028974003,18479035.45,11474,0.151887853,0.004707858,0.005973731,-0.669535516,14.82101538
fernand-leger_the-two-women-in-blue-vase-1935.jpg,1,cubism,123.3192311,15.75698453,5.450706934,18.80858779,121.6989619,123.7642753,124.8833833,48883.45,58955.17,68143.695,4.9532857,0.78315043,2.2171874,1.7253883,1.095235,1.298475,7.354206,5.676115,44.033573,810242.94,7.685596,80.883965,320230.66,1.3056288,2.4830756,54060.54,6.4316583,3466.961741,0.634796366,0.01393298,0.091890779,3.2039168,7144262.05,9639,0.115518177,0.014433329,1.08819614,0.321815659,14.22920316
marc-chagall_the-cattle-dealer-1912.jpg,1,cubism,90.51763168,15.62007654,6.164727702,16.95179462,101.451411,86.20716647,83.96293733,62108.344,93074.61,77461.09,5.7272205,3.8889418,4.20282,2.4648514,2.1310043,2.2544856,7.3692,2.372333,7.327855,210361.33,1.3185768,0.7001257,75893.79,2.471521,5.9812593,59392.71,7.099028,5363.972925,0.401478223,0.010730713,0.046785281,3.160366196,10541688.05,12309,0.13937511,0.008352356,0.464870137,-0.74360498,14.65506564
ernst-ludwig-kirchner_two-acrobats-1933.jpg,1,cubism,113.7168474,15.75255183,5.339305532,18.16996455,140.6050288,100.6701576,110.2958708,183006.19,49711.03,53178.445,81.12168,0.81023383,0.17361689,7.6967096,0.9410231,0.7823197,7.2695746,3.0719855,11.281247,424410.94,1.1247063,0.93129826,40771.92,8.571922,94.93613,169523.94,6.924518,2581.086133,0.68205506,0.013300088,0.1172489,3.081808073,15555812.45,5932,0.128585969,0.011243426,0.951163099,0.036507749,14.50938886
